i,suite,case,SIZE,SIM_SIZE,DISK_SIZE,CHUNK,NO_FRUNCATE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,FILE_SIZE,NO_SET,SEED,DISK_GEOMETRY,BLOCK_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,usage,284528832,0,0,0,0,0,0,1449984,4.817271
22,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,write,18368,572206022,1118269,69974,572206022,286244057,286613504,3624513571339,15.788212
22,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,stack,18368,0,0,0,0,0,0,1984,15.788321
22,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,ctx,18368,0,0,0,0,0,0,384,15.788375
22,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,heap,18368,0,0,0,0,0,0,784,15.788421
22,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,usage,18368,0,0,0,0,0,0,2113536,15.788467
29,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,write,12032,555433986,1088860,70144,555433986,278721902,287309824,3619582176122,16.557519
29,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,stack,12032,0,0,0,0,0,0,1520,16.557620
29,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,ctx,12032,0,0,0,0,0,0,384,16.557685
29,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,heap,12032,0,0,0,0,0,0,784,16.557733
29,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,usage,12032,0,0,0,0,0,0,4194304,16.557777
21,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,17.297112
21,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,stack,18368,0,0,0,0,0,0,1984,17.297210
21,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,ctx,18368,0,0,0,0,0,0,384,17.297262
21,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,heap,18368,0,0,0,0,0,0,784,17.297310
21,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,usage,18368,0,0,0,0,0,0,2101248,17.297354
28,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,write,14336,556267800,1090328,70400,556267800,279097962,288358400,3631729717662,20.703373
28,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,stack,14336,0,0,0,0,0,0,1520,20.703471
28,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,ctx,14336,0,0,0,0,0,0,384,20.703521
28,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,heap,14336,0,0,0,0,0,0,784,20.703563
28,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,usage,14336,0,0,0,0,0,0,3145728,20.703604
27,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,write,15808,550993954,1079433,69824,550993954,276314445,285999104,3601187256583,21.226476
27,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,stack,15808,0,0,0,0,0,0,1520,21.226569
27,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,ctx,15808,0,0,0,0,0,0,384,21.226612
27,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,heap,15808,0,0,0,0,0,0,784,21.226647
27,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,usage,15808,0,0,0,0,0,0,2621440,21.226681
24,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,write,17920,563152359,1103360,70200,563152359,282436502,287539200,3628283269178,21.620683
24,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,stack,17920,0,0,0,0,0,0,1840,21.620773
24,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,ctx,17920,0,0,0,0,0,0,384,21.620815
24,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,heap,17920,0,0,0,0,0,0,784,21.620853
24,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,usage,17920,0,0,0,0,0,0,2162688,21.620890
25,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,write,17536,560806267,1099161,70192,560806267,281364020,287506432,3626128921620,21.947281
25,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,stack,17536,0,0,0,0,0,0,1840,21.947362
25,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,ctx,17536,0,0,0,0,0,0,384,21.947403
25,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,heap,17536,0,0,0,0,0,0,784,21.947438
25,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,usage,17536,0,0,0,0,0,0,2228224,21.947484
26,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,write,16832,555622197,1086128,70080,555622197,277996741,287047680,3615602862823,22.598311
26,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,stack,16832,0,0,0,0,0,0,1520,22.598387
26,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,ctx,16832,0,0,0,0,0,0,384,22.598422
26,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,heap,16832,0,0,0,0,0,0,784,22.598452
26,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,131072,2,usage,16832,0,0,0,0,0,0,2359296,22.598481
23,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,write,18176,567625925,1110742,69640,567625925,284323270,285245440,3606252557946,23.105032
23,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,stack,18176,0,0,0,0,0,0,1840,23.105098
23,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,ctx,18176,0,0,0,0,0,0,384,23.105127
23,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,heap,18176,0,0,0,0,0,0,784,23.105152
23,bench_p26_wt,bench_p26_wt_random,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,usage,18176,0,0,0,0,0,0,2113536,23.105175
30,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,write,4026880,84698034504,134788,3512,84698034504,11536912,14385152,3600108314224,626.271014
30,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,stack,4026880,0,0,0,0,0,0,2288,626.271122
30,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,ctx,4026880,0,0,0,0,0,0,640,626.271175
30,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,heap,4026880,0,0,0,0,0,0,784,626.271222
30,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,usage,4026880,0,0,0,0,0,0,13508608,626.271266
34,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,write,3795584,85315735134,124530,3056,85315735134,9856402,12517376,3600160509574,645.360186
34,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,stack,3795584,0,0,0,0,0,0,2288,645.360354
34,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,ctx,3795584,0,0,0,0,0,0,640,645.360417
34,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,heap,3795584,0,0,0,0,0,0,784,645.360464
34,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,usage,3795584,0,0,0,0,0,0,13631488,645.360506
32,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,write,4000064,84737390750,134206,3480,84737390750,11433576,14254080,3600007769192,657.686141
32,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,stack,4000064,0,0,0,0,0,0,2288,657.686235
32,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,ctx,4000064,0,0,0,0,0,0,640,657.686280
32,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,heap,4000064,0,0,0,0,0,0,784,657.686317
32,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,16384,2,usage,4000064,0,0,0,0,0,0,13336576,657.686358
31,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,write,4008512,84711329464,134442,3502,84711329464,11514024,14344192,3600051246904,676.081259
31,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,stack,4008512,0,0,0,0,0,0,2288,676.081358
31,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,ctx,4008512,0,0,0,0,0,0,640,676.081403
31,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,heap,4008512,0,0,0,0,0,0,784,676.081439
31,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,usage,4008512,0,0,0,0,0,0,13287424,676.081474
33,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,write,3977472,84468625170,135091,3712,84468625170,11741116,15204352,3600056790724,796.712530
33,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,stack,3977472,0,0,0,0,0,0,2288,796.712617
33,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,ctx,3977472,0,0,0,0,0,0,640,796.712657
33,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,heap,3977472,0,0,0,0,0,0,784,796.712690
33,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,usage,3977472,0,0,0,0,0,0,13893632,796.712721
38,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,write,499712,474562803206,21959,10752,474562803206,1678660,44040192,19475155982844,4571.045902
38,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,stack,499712,0,0,0,0,0,0,2288,4571.045977
38,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,ctx,499712,0,0,0,0,0,0,640,4571.054347
38,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,heap,499712,0,0,0,0,0,0,784,4571.054415
38,bench_p26_wt,bench_p26_wt_many,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,usage,499712,0,0,0,0,0,0,4194304,4571.054463
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,write,20288,6561694,13077,80128,6561694,3235945,328204288,3611208732539,1.825684
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,stack,20288,0,0,0,0,0,0,1664,1.825857
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,ctx,20288,0,0,0,0,0,0,400,1.825923
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,heap,20288,0,0,0,0,0,0,784,1.825972
47,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,1048576,2,usage,20288,0,0,0,0,0,0,3145728,1.826017
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,write,40064,25406888,50003,79616,25406888,12580105,326107136,3603875893995,2.375937
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,stack,40064,0,0,0,0,0,0,1664,2.376099
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,ctx,40064,0,0,0,0,0,0,400,2.376149
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,heap,40064,0,0,0,0,0,0,784,2.376191
46,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,524288,2,usage,40064,0,0,0,0,0,0,1572864,2.376234
45,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,write,78464,97211888,189878,78208,97211888,48176905,320339968,3600034229547,4.476850
45,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,stack,78464,0,0,0,0,0,0,1664,4.476948
45,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,ctx,78464,0,0,0,0,0,0,400,4.476996
45,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,heap,78464,0,0,0,0,0,0,784,4.477053
45,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,262144,2,usage,78464,0,0,0,0,0,0,786432,4.477095
43,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,write,298304,292149059,572674,74592,292149059,144779967,305528832,3600119432357,6.522531
43,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,stack,298304,0,0,0,0,0,0,1856,6.522631
43,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,ctx,298304,0,0,0,0,0,0,400,6.522680
43,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,heap,298304,0,0,0,0,0,0,784,6.522773
43,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,65536,2,usage,298304,0,0,0,0,0,0,458752,6.522817
40,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,write,2338176,317112283,651828,73862,317112283,152920102,302538752,3600095336714,6.865487
40,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,stack,2338176,0,0,0,0,0,0,2000,6.865577
40,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,ctx,2338176,0,0,0,0,0,0,400,6.865622
40,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,heap,2338176,0,0,0,0,0,0,784,6.865661
40,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,8192,2,usage,2338176,0,0,0,0,0,0,2383872,6.865699
42,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,write,592896,307729275,607116,74272,307729275,151896142,304218112,3600259486978,7.002618
42,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,stack,592896,0,0,0,0,0,0,1856,7.002692
42,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,ctx,592896,0,0,0,0,0,0,400,7.002735
42,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,heap,592896,0,0,0,0,0,0,784,7.002772
42,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,32768,2,usage,592896,0,0,0,0,0,0,688128,7.002808
39,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,write,4592704,331044425,707723,73351,331044425,153905229,300445696,3600042181151,7.060010
39,bench_p26_wt,bench_p26_wt_logging,2097152,0,134217728,64,0,0,32768,3600000000000,64,0,42,0,4096,2,stack,4592704,0,0,0,0,0,0,2000,7.060113
