i,suite,case,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,SIM_TIME,NO_SET,READ_SIZE,CHUNK,NO_FRUNCATE,SEED,FILE_COUNT,DISK_SIZE,FS,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,usage,255717952,0,0,0,0,0,0,2060288,8.983005
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,write,256885056,720249856,1191673,68652,720249856,274519152,281198592,3600095323984,9.192281
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,stack,256885056,0,0,0,0,0,0,3312,9.192394
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,ctx,256885056,0,0,0,0,0,0,624,9.192446
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,heap,256885056,0,0,0,0,0,0,784,9.192491
20,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,usage,256885056,0,0,0,0,0,0,1097728,9.192533
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,write,258171200,275538944,1197582,68993,275538944,275887957,282595328,3600041792847,9.212025
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,stack,258171200,0,0,0,0,0,0,3312,9.212131
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,ctx,258171200,0,0,0,0,0,0,624,9.212182
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,heap,258171200,0,0,0,0,0,0,784,9.212227
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,usage,258171200,0,0,0,0,0,0,258048,9.212270
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,write,258429248,185571520,1198774,69062,185571520,276162569,282877952,3600030173355,9.339161
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,stack,258429248,0,0,0,0,0,0,3312,9.339248
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,ctx,258429248,0,0,0,0,0,0,624,9.339283
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,heap,258429248,0,0,0,0,0,0,784,9.339312
17,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,usage,258429248,0,0,0,0,0,0,524288,9.339338
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,write,258556224,141691680,1199365,69096,141691680,276298346,283017216,3600043989470,9.403540
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,stack,258556224,0,0,0,0,0,0,3312,9.403615
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,ctx,258556224,0,0,0,0,0,0,624,9.403650
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,heap,258556224,0,0,0,0,0,0,784,9.403679
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,usage,258556224,0,0,0,0,0,0,655360,9.403705
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,write,258617664,119713736,1199656,69114,119713736,276365352,283090944,3600092557880,9.576262
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,stack,258617664,0,0,0,0,0,0,3312,9.576334
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,ctx,258617664,0,0,0,0,0,0,624,9.576366
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,heap,258617664,0,0,0,0,0,0,784,9.576393
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,usage,258617664,0,0,0,0,0,0,720896,9.576418
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,write,258679104,98677360,1199938,69129,98677360,276429934,283152384,3600040145834,9.664775
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,stack,258679104,0,0,0,0,0,0,3312,9.664842
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,ctx,258679104,0,0,0,0,0,0,624,9.664882
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,heap,258679104,0,0,0,0,0,0,784,9.664907
13,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,usage,258679104,0,0,0,0,0,0,782336,9.664929
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,write,258654528,106412512,1199826,69123,106412512,276404100,283127808,3600034254796,9.760838
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,stack,258654528,0,0,0,0,0,0,3312,9.760911
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,ctx,258654528,0,0,0,0,0,0,624,9.760944
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,heap,258654528,0,0,0,0,0,0,784,9.760970
14,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,usage,258654528,0,0,0,0,0,0,757760,9.760994
24,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,write,255320128,1481367552,1180817,68073,1481367552,272216678,278827008,3600098273426,4.574547
24,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,stack,255320128,0,0,0,0,0,0,3312,4.574615
24,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,ctx,255320128,0,0,0,0,0,0,624,4.574645
24,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,heap,255320128,0,0,0,0,0,0,8464,4.574670
24,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,usage,255320128,0,0,0,0,0,0,1634304,4.574694
36,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,write,6217664,19154352128,1602939,48651,19154352128,173574690,199274496,3600082393478,13.638124
36,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,stack,6217664,0,0,0,0,0,0,3296,13.638244
36,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,ctx,6217664,0,0,0,0,0,0,608,13.638304
36,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,heap,6217664,0,0,0,0,0,0,4368,13.638366
36,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,usage,6217664,0,0,0,0,0,0,4780032,13.638419
35,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,write,6631232,14427185152,1711901,51878,14427185152,185310241,212492288,3600028099955,14.505246
35,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,stack,6631232,0,0,0,0,0,0,3296,14.505356
35,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,ctx,6631232,0,0,0,0,0,0,608,14.505415
35,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,heap,6631232,0,0,0,0,0,0,2320,14.505466
35,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,usage,6631232,0,0,0,0,0,0,4759552,14.505515
34,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,write,7017600,9941312512,1815211,54947,9941312512,196484436,225062912,3600243603004,15.633655
34,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,stack,7017600,0,0,0,0,0,0,3296,15.633762
34,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,ctx,7017600,0,0,0,0,0,0,608,15.633820
34,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,heap,7017600,0,0,0,0,0,0,1296,15.633869
34,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,usage,7017600,0,0,0,0,0,0,4849664,15.633930
33,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,write,7321984,6443467520,1895374,57335,6443467520,205133604,234844160,3600026388908,16.478890
33,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,stack,7321984,0,0,0,0,0,0,3296,16.478994
33,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,ctx,7321984,0,0,0,0,0,0,608,16.479049
33,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,heap,7321984,0,0,0,0,0,0,784,16.479099
33,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,usage,7321984,0,0,0,0,0,0,4820992,16.479146
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,16.820294
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,stack,7800256,0,0,0,0,0,0,3296,16.820397
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,ctx,7800256,0,0,0,0,0,0,608,16.820452
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,heap,7800256,0,0,0,0,0,0,784,16.820500
25,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,1,64,1,42,32768,134217728,32,64,usage,7800256,0,0,0,0,0,0,4820992,16.820545
32,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,write,7538304,3912987392,1953374,59068,3912987392,211396339,241942528,3600116270601,16.942704
32,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,stack,7538304,0,0,0,0,0,0,3296,16.942803
32,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,ctx,7538304,0,0,0,0,0,0,608,16.942856
32,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,heap,7538304,0,0,0,0,0,0,784,16.942911
32,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,usage,7538304,0,0,0,0,0,0,4747264,16.942957
30,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,write,7726912,1714593184,2004012,60569,1714593184,216896441,248090624,3600089668539,17.254893
30,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,stack,7726912,0,0,0,0,0,0,3296,17.254987
30,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,ctx,7726912,0,0,0,0,0,0,608,17.255038
30,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,heap,7726912,0,0,0,0,0,0,784,17.255084
30,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,32,64,1,42,32768,134217728,32,64,usage,7726912,0,0,0,0,0,0,4784128,17.255126
31,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,write,7653056,2546998784,1984511,60002,2546998784,214788912,245768192,3600028715408,17.324554
31,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,stack,7653056,0,0,0,0,0,0,3296,17.324641
31,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,ctx,7653056,0,0,0,0,0,0,608,17.324689
31,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,heap,7653056,0,0,0,0,0,0,784,17.324732
31,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,64,64,1,42,32768,134217728,32,64,usage,7653056,0,0,0,0,0,0,4706304,17.324772
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,write,7765760,1289338592,2013395,60863,1289338592,217919850,249294848,3600082935518,17.541970
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,stack,7765760,0,0,0,0,0,0,3296,17.542068
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,ctx,7765760,0,0,0,0,0,0,608,17.542118
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,heap,7765760,0,0,0,0,0,0,784,17.542160
29,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,16,64,1,42,32768,134217728,32,64,usage,7765760,0,0,0,0,0,0,4743168,17.542201
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,write,7780352,1104374752,2017548,60993,1104374752,218372903,249827328,3600204546789,18.458520
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,stack,7780352,0,0,0,0,0,0,3296,18.458609
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,ctx,7780352,0,0,0,0,0,0,608,18.458650
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,heap,7780352,0,0,0,0,0,0,784,18.458684
28,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,8,64,1,42,32768,134217728,32,64,usage,7780352,0,0,0,0,0,0,4767744,18.458715
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,write,7789696,973822824,2020292,61083,973822824,218680698,250195968,3600136148046,20.259716
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,stack,7789696,0,0,0,0,0,0,3296,20.259829
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,ctx,7789696,0,0,0,0,0,0,608,20.259861
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,heap,7789696,0,0,0,0,0,0,784,20.259886
27,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4,64,1,42,32768,134217728,32,64,usage,7789696,0,0,0,0,0,0,4816896,20.259910
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,write,7794240,912798084,2021794,61124,912798084,218838369,250363904,3600144091347,20.871728
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,stack,7794240,0,0,0,0,0,0,3296,20.871798
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,ctx,7794240,0,0,0,0,0,0,608,20.871832
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,heap,7794240,0,0,0,0,0,0,784,20.871860
26,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,2,64,1,42,32768,134217728,32,64,usage,7794240,0,0,0,0,0,0,4804608,20.871887
37,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,write,6248384,18768773120,1611936,48916,18768773120,174547746,200359936,3600202316678,6.086732
37,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,stack,6248384,0,0,0,0,0,0,3296,6.086803
37,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,ctx,6248384,0,0,0,0,0,0,608,6.086836
37,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,heap,6248384,0,0,0,0,0,0,8464,6.086865
37,bench_p26_wt,bench_p26_wt_random,0,0,2097152,0,3600000000000,0,4096,64,1,42,32768,134217728,32,64,usage,6248384,0,0,0,0,0,0,4780032,6.086893
49,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,write,33499072,44747294720,998059,31301,44747294720,118764870,128208896,3600002604338,39.477642
49,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,stack,33499072,0,0,0,0,0,0,3488,39.477773
49,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,ctx,33499072,0,0,0,0,0,0,848,39.477832
49,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,heap,33499072,0,0,0,0,0,0,4368,39.477884
49,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,2048,64,1,42,32768,134217728,32,64,usage,33499072,0,0,0,0,0,0,31920128,39.477944
48,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,write,37624320,39762579456,1112795,34706,39762579456,132331945,142155776,3600001278091,45.308039
48,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,stack,37624320,0,0,0,0,0,0,3488,45.308143
48,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,ctx,37624320,0,0,0,0,0,0,848,45.308201
48,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,heap,37624320,0,0,0,0,0,0,2320,45.308249
48,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,1024,64,1,42,32768,134217728,32,64,usage,37624320,0,0,0,0,0,0,31920128,45.308295
47,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,write,44144256,31841063936,1294249,40125,31841063936,153795797,164352000,3600001013455,53.822471
47,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,stack,44144256,0,0,0,0,0,0,3488,53.822580
47,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,ctx,44144256,0,0,0,0,0,0,848,53.822637
47,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,heap,44144256,0,0,0,0,0,0,1296,53.822685
47,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,512,64,1,42,32768,134217728,32,64,usage,44144256,0,0,0,0,0,0,31920128,53.822731
45,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,write,56255424,17206882304,1631039,50122,17206882304,193595489,205299712,3600000615475,60.746454
45,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,stack,56255424,0,0,0,0,0,0,3488,60.746568
45,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,ctx,56255424,0,0,0,0,0,0,848,60.746638
45,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,heap,56255424,0,0,0,0,0,0,784,60.746688
45,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,128,64,1,42,32768,134217728,32,64,usage,56255424,0,0,0,0,0,0,31920128,60.746734
46,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,write,50467264,24220510720,1470036,45328,24220510720,174563828,185663488,3600038785308,62.697515
46,bench_p26_wt,bench_p26_wt_many,0,0,2097152,0,3600000000000,0,256,64,1,42,32768,134217728,32,64,stack,50467264,0,0,0,0,0,0,3488,62.697621
