i,suite,case,FILE_SIZE,DISK_SIZE,NO_FRUNCATE,BLOCK_SIZE,DISK_GEOMETRY,SIM_TIME,FS,NO_SET,SEED,SIM_SIZE,SIZE,SKIP_WARMUP,CHUNK,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,244383808,0,0,0,0,0,0,784,7.087222
20,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,244383808,0,0,0,0,0,0,4194304,7.087262
19,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,244875328,57412271,1299344,68352,57412271,279500399,279969792,3603259049365,7.131541
19,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,244875328,0,0,0,0,0,0,3168,7.131618
19,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,244875328,0,0,0,0,0,0,528,7.131664
19,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,244875328,0,0,0,0,0,0,784,7.131703
19,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,244875328,0,0,0,0,0,0,3145728,7.131745
16,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,247467328,56381911,1290672,68368,56381911,279519954,280035328,3600468274990,7.154303
16,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,247467328,0,0,0,0,0,0,3168,7.154367
16,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,247467328,0,0,0,0,0,0,528,7.154409
16,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,247467328,0,0,0,0,0,0,784,7.154446
16,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,247467328,0,0,0,0,0,0,262144,7.154483
12,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,261177664,94483085,1198322,69147,94483085,276522268,283226112,3600037498140,7.650356
12,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,261177664,0,0,0,0,0,0,3168,7.650438
12,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,261177664,0,0,0,0,0,0,528,7.650475
12,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,261177664,0,0,0,0,0,0,784,7.650507
12,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,261177664,0,0,0,0,0,0,1183744,7.650539
13,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,252174912,133821822,1259179,68570,133821822,277660998,280862720,3600019048674,7.769548
13,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,252174912,0,0,0,0,0,0,3168,7.769609
13,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,252174912,0,0,0,0,0,0,528,7.769639
13,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,252174912,0,0,0,0,0,0,784,7.769665
13,bench_p26_wt,bench_p26_wt_linear,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,252174912,0,0,0,0,0,0,565248,7.769688
29,bench_p26_wt,bench_p26_wt_random,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,885760,110123095,660483,74240,110123095,93372530,304087040,3611156965134,4.858309
29,bench_p26_wt,bench_p26_wt_random,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,885760,0,0,0,0,0,0,3168,4.858414
29,bench_p26_wt,bench_p26_wt_random,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,885760,0,0,0,0,0,0,512,4.858468
29,bench_p26_wt,bench_p26_wt_random,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,885760,0,0,0,0,0,0,784,4.858514
29,bench_p26_wt,bench_p26_wt_random,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,885760,0,0,0,0,0,0,7340032,4.858558
27,bench_p26_wt,bench_p26_wt_random,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,2206656,263194299,1395357,67328,263194299,188532348,275775488,3602100803436,4.932056
27,bench_p26_wt,bench_p26_wt_random,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,2206656,0,0,0,0,0,0,3152,4.932160
27,bench_p26_wt,bench_p26_wt_random,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,2206656,0,0,0,0,0,0,512,4.932227
27,bench_p26_wt,bench_p26_wt_random,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,2206656,0,0,0,0,0,0,784,4.932276
27,bench_p26_wt,bench_p26_wt_random,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,2206656,0,0,0,0,0,0,4194304,4.932321
25,bench_p26_wt,bench_p26_wt_random,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,3617408,427905655,1748862,64000,427905655,221564821,262144000,3601008596135,5.358180
25,bench_p26_wt,bench_p26_wt_random,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,3617408,0,0,0,0,0,0,3104,5.358282
25,bench_p26_wt,bench_p26_wt_random,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,3617408,0,0,0,0,0,0,512,5.358335
25,bench_p26_wt,bench_p26_wt_random,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,3617408,0,0,0,0,0,0,784,5.358382
25,bench_p26_wt,bench_p26_wt_random,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,3617408,0,0,0,0,0,0,4784128,5.358427
28,bench_p26_wt,bench_p26_wt_random,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,1482624,178679074,1075126,70400,178679074,146036775,288358400,3608015260213,5.481010
28,bench_p26_wt,bench_p26_wt_random,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,1482624,0,0,0,0,0,0,3152,5.481108
28,bench_p26_wt,bench_p26_wt_random,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,1482624,0,0,0,0,0,0,512,5.481158
28,bench_p26_wt,bench_p26_wt_random,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,1482624,0,0,0,0,0,0,784,5.481201
28,bench_p26_wt,bench_p26_wt_random,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,1482624,0,0,0,0,0,0,6291456,5.481243
26,bench_p26_wt,bench_p26_wt_random,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,2857536,370675750,1645787,64960,370675750,212356994,266076160,3600499967382,5.986935
26,bench_p26_wt,bench_p26_wt_random,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,2857536,0,0,0,0,0,0,3152,5.987024
26,bench_p26_wt,bench_p26_wt_random,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,2857536,0,0,0,0,0,0,512,5.987066
26,bench_p26_wt,bench_p26_wt_random,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,2857536,0,0,0,0,0,0,784,5.987100
26,bench_p26_wt,bench_p26_wt_random,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,2857536,0,0,0,0,0,0,5636096,5.987134
24,bench_p26_wt,bench_p26_wt_random,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,4576768,469101886,1779919,63672,469101886,223341663,260800512,3600357421501,8.075852
24,bench_p26_wt,bench_p26_wt_random,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,4576768,0,0,0,0,0,0,3152,8.075941
24,bench_p26_wt,bench_p26_wt_random,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,4576768,0,0,0,0,0,0,512,8.075983
24,bench_p26_wt,bench_p26_wt_random,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,4576768,0,0,0,0,0,0,784,8.076016
24,bench_p26_wt,bench_p26_wt_random,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,4576768,0,0,0,0,0,0,4489216,8.076048
23,bench_p26_wt,bench_p26_wt_random,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,5605568,551688168,1785977,63552,551688168,223460620,260308992,3600687269668,8.974838
23,bench_p26_wt,bench_p26_wt_random,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,5605568,0,0,0,0,0,0,3152,8.974916
23,bench_p26_wt,bench_p26_wt_random,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,5605568,0,0,0,0,0,0,512,8.974956
23,bench_p26_wt,bench_p26_wt_random,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,5605568,0,0,0,0,0,0,784,8.975000
23,bench_p26_wt,bench_p26_wt_random,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,5605568,0,0,0,0,0,0,4374528,8.975031
22,bench_p26_wt,bench_p26_wt_random,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,6639104,755843378,1751089,63668,755843378,224560311,260784128,3600134550629,9.972781
22,bench_p26_wt,bench_p26_wt_random,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,6639104,0,0,0,0,0,0,3104,9.972856
22,bench_p26_wt,bench_p26_wt_random,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,6639104,0,0,0,0,0,0,512,9.972892
22,bench_p26_wt,bench_p26_wt_random,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,6639104,0,0,0,0,0,0,784,9.972921
22,bench_p26_wt,bench_p26_wt_random,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,6639104,0,0,0,0,0,0,4251648,9.972946
21,bench_p26_wt,bench_p26_wt_random,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,7861440,972572239,2025106,61041,972572239,218418044,250023936,3600117406860,10.892401
21,bench_p26_wt,bench_p26_wt_random,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,7861440,0,0,0,0,0,0,3152,10.892466
21,bench_p26_wt,bench_p26_wt_random,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,7861440,0,0,0,0,0,0,512,10.892497
21,bench_p26_wt,bench_p26_wt_random,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,7861440,0,0,0,0,0,0,784,10.892521
21,bench_p26_wt,bench_p26_wt_random,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,7861440,0,0,0,0,0,0,4603904,10.892544
30,bench_p26_wt,bench_p26_wt_many,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,65014272,7342646095,1852402,56911,7342646095,220512933,233107456,3600012008599,55.214818
30,bench_p26_wt,bench_p26_wt_many,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,65014272,0,0,0,0,0,0,3312,55.214938
30,bench_p26_wt,bench_p26_wt_many,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,65014272,0,0,0,0,0,0,752,55.215000
30,bench_p26_wt,bench_p26_wt_many,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,65014272,0,0,0,0,0,0,784,55.215045
30,bench_p26_wt,bench_p26_wt_many,64,134217728,0,4096,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,65014272,0,0,0,0,0,0,31838208,55.215087
32,bench_p26_wt,bench_p26_wt_many,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,53279616,15007297948,1621238,52160,15007297948,204016097,213647360,3600000839187,99.148276
32,bench_p26_wt,bench_p26_wt_many,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,53279616,0,0,0,0,0,0,3200,99.148379
32,bench_p26_wt,bench_p26_wt_many,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,53279616,0,0,0,0,0,0,752,99.148429
32,bench_p26_wt,bench_p26_wt_many,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,53279616,0,0,0,0,0,0,784,99.148488
32,bench_p26_wt,bench_p26_wt_many,64,134217728,0,16384,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,53279616,0,0,0,0,0,0,32342016,99.148530
31,bench_p26_wt,bench_p26_wt_many,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,59940672,10060358901,1764354,55282,10060358901,215670242,226435072,3600095228942,111.576502
31,bench_p26_wt,bench_p26_wt_many,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,59940672,0,0,0,0,0,0,3312,111.576603
31,bench_p26_wt,bench_p26_wt_many,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,59940672,0,0,0,0,0,0,752,111.576659
31,bench_p26_wt,bench_p26_wt_many,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,59940672,0,0,0,0,0,0,784,111.576700
31,bench_p26_wt,bench_p26_wt_many,64,134217728,0,8192,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,59940672,0,0,0,0,0,0,32227328,111.576740
33,bench_p26_wt,bench_p26_wt_many,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,45408960,23508395394,1413373,46464,23508395394,181398199,190316544,3600130045669,194.749216
33,bench_p26_wt,bench_p26_wt_many,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,45408960,0,0,0,0,0,0,3200,194.749318
33,bench_p26_wt,bench_p26_wt_many,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,45408960,0,0,0,0,0,0,752,194.749367
33,bench_p26_wt,bench_p26_wt_many,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,45408960,0,0,0,0,0,0,784,194.749410
33,bench_p26_wt,bench_p26_wt_many,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,45408960,0,0,0,0,0,0,33980416,194.749452
34,bench_p26_wt,bench_p26_wt_many,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,35418368,35107524503,1136699,38624,35107524503,149878547,158203904,3600001859329,233.396550
34,bench_p26_wt,bench_p26_wt_many,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,35418368,0,0,0,0,0,0,3200,233.396649
34,bench_p26_wt,bench_p26_wt_many,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,35418368,0,0,0,0,0,0,752,233.396696
34,bench_p26_wt,bench_p26_wt_many,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,35418368,0,0,0,0,0,0,784,233.396737
34,bench_p26_wt,bench_p26_wt_many,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,35418368,0,0,0,0,0,0,33882112,233.396776
35,bench_p26_wt,bench_p26_wt_many,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,25114048,48101344567,843500,29696,48101344567,113722002,121634816,3600002557294,315.043881
35,bench_p26_wt,bench_p26_wt_many,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,25114048,0,0,0,0,0,0,3200,315.043973
35,bench_p26_wt,bench_p26_wt_many,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,25114048,0,0,0,0,0,0,752,315.044019
35,bench_p26_wt,bench_p26_wt_many,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,25114048,0,0,0,0,0,0,784,315.044058
35,bench_p26_wt,bench_p26_wt_many,64,134217728,0,131072,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,25114048,0,0,0,0,0,0,33947648,315.044106
36,bench_p26_wt,bench_p26_wt_many,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,16376832,60324834473,587650,21120,60324834473,79437313,86507520,3600009521787,349.418802
36,bench_p26_wt,bench_p26_wt_many,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,16376832,0,0,0,0,0,0,3104,349.418886
36,bench_p26_wt,bench_p26_wt_many,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,16376832,0,0,0,0,0,0,752,349.418924
36,bench_p26_wt,bench_p26_wt_many,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,16376832,0,0,0,0,0,0,784,349.418957
36,bench_p26_wt,bench_p26_wt_many,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,16376832,0,0,0,0,0,0,34340864,349.418987
37,bench_p26_wt,bench_p26_wt_many,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,9803712,70533299719,387186,13952,70533299719,50524804,57147392,3605037168356,430.049373
37,bench_p26_wt,bench_p26_wt_many,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,9803712,0,0,0,0,0,0,3104,430.049469
37,bench_p26_wt,bench_p26_wt_many,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,9803712,0,0,0,0,0,0,752,430.049515
37,bench_p26_wt,bench_p26_wt_many,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,9803712,0,0,0,0,0,0,784,430.049554
37,bench_p26_wt,bench_p26_wt_many,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,9803712,0,0,0,0,0,0,35127296,430.049593
38,bench_p26_wt,bench_p26_wt_many,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,5834624,78098224363,267083,8192,78098224363,30639467,33554432,3600007500969,445.422416
38,bench_p26_wt,bench_p26_wt_many,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,5834624,0,0,0,0,0,0,3104,445.422485
38,bench_p26_wt,bench_p26_wt_many,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,5834624,0,0,0,0,0,0,752,445.422525
38,bench_p26_wt,bench_p26_wt_many,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,5834624,0,0,0,0,0,0,784,445.422551
38,bench_p26_wt,bench_p26_wt_many,64,134217728,0,1048576,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,5834624,0,0,0,0,0,0,36700160,445.422574
42,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,28027648,423874393,2892368,53816,423874393,214755520,220430336,3600000425000,8.556962
42,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,28027648,0,0,0,0,0,0,3168,8.557075
42,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,28027648,0,0,0,0,0,0,528,8.557127
42,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,28027648,0,0,0,0,0,0,784,8.557177
42,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,32768,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,28027648,0,0,0,0,0,0,2293760,8.557225
43,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,30252800,328196843,3027932,52704,328196843,210011561,215875584,3600287634499,9.277572
43,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,30252800,0,0,0,0,0,0,3168,9.277681
43,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,30252800,0,0,0,0,0,0,528,9.277736
43,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,30252800,0,0,0,0,0,0,784,9.277782
43,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,65536,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,30252800,0,0,0,0,0,0,2490368,9.277826
45,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,33639808,268868758,3245881,50816,268868758,201401697,208142336,3600000958627,11.070802
45,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,stack,33639808,0,0,0,0,0,0,3168,11.070923
45,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,ctx,33639808,0,0,0,0,0,0,528,11.079186
45,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,heap,33639808,0,0,0,0,0,0,784,11.079244
45,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,262144,0,3600000000000,30,0,42,0,2097152,0,64,32768,usage,33639808,0,0,0,0,0,0,3670016,11.079295
46,bench_p26_wt,bench_p26_wt_logging,64,134217728,0,524288,0,3600000000000,30,0,42,0,2097152,0,64,32768,write,35124928,249983497,3344345,50048,249983497,198115840,204996608,3604022352488,11.160254
